lon;lat;depth;slip;strike;dip;rake;width;length;rupture
35.3844496;33.99558097;212.132;0.15224;25;45;90;200;1000;5.407
35.38903703;34.00374669;212.132;0.088611;25;45;90;200;1000;5.279
35.39362533;34.01191224;212.132;0.15224;25;45;90;200;1000;5.121
35.39821452;34.0200776;212.132;0.12022;25;45;90;200;1000;4.895
35.40280458;34.02824277;212.132;0.087964;25;45;90;200;1000;4.61
35.40739552;34.03640777;212.132;0.3536;25;45;90;200;1000;4.386
35.41198735;34.04457258;212.132;0.40697;25;45;90;200;1000;4.354
35.41658005;34.05273721;212.132;0;25;45;90;200;1000;4.2
35.42117363;34.06090166;212.132;0;25;45;90;200;1000;3.698
35.4257681;34.06906593;212.132;0.15224;25;45;90;200;1000;3.602
35.43036345;34.07723001;212.132;0.18654;25;45;90;200;1000;3.486
35.43495967;34.08539391;212.132;0;25;45;90;200;1000;3.352
35.43955678;34.09355763;212.132;0.73499;25;45;90;200;1000;3.279
35.44415478;34.10172116;212.132;0.41304;25;45;90;200;1000;3.426
35.44875365;34.10988452;212.132;0;25;45;90;200;1000;3.467
35.45335341;34.11804768;212.132;0;25;45;90;200;1000;3.716
35.45795406;34.12621067;212.132;0.23338;25;45;90;200;1000;3.861
35.46255559;34.13437347;212.132;0.36368;25;45;90;200;1000;4.016
35.467158;34.14253609;212.132;0.088611;25;45;90;200;1000;4.186
35.4717613;34.15069853;212.132;0.1608;25;45;90;200;1000;4.441
35.47636548;34.15886078;212.132;0.41063;25;45;90;200;1000;4.707
35.48097056;34.16702285;212.132;0.37784;25;45;90;200;1000;5.02
35.48557651;34.17518473;212.132;0.53434;25;45;90;200;1000;5.189
35.49018336;34.18334643;212.132;0.088611;25;45;90;200;1000;5.499
35.49479109;34.19150795;212.132;0;25;45;90;200;1000;5.734
35.49939971;34.19966928;212.132;0.12734;25;45;90;200;1000;6.046
35.50400922;34.20783043;212.132;0;25;45;90;200;1000;6.161
35.50861962;34.2159914;212.132;0.26552;25;45;90;200;1000;6.299
35.5132309;34.22415218;212.132;0.41989;25;45;90;200;1000;6.41
35.51784308;34.23231277;212.132;0.35214;25;45;90;200;1000;6.656
35.52245614;34.24047319;212.132;0;25;45;90;200;1000;6.763
